# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 12.1 Build 243 01/31/2013 Service Pack 1 SJ Full Version
# File: C:\chenyu\RTL_work\RTL_work\UltraSound\atom_netlists\UltraSoundF.csv
# Generated on: Fri Sep 13 13:20:49 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
AD_PCM_IN[4],Input,PIN_L4,1,B1_N1,3.3-V LVCMOS,,,,
AD_PCM_IN[3],Input,PIN_L3,1,B1_N1,3.3-V LVCMOS,,,,
AD_PCM_IN[2],Input,PIN_M4,1,B1_N1,3.3-V LVCMOS,,,,
AD_PCM_IN[1],Input,PIN_M3,1,B1_N1,,,,,
AD_PCM_IN[0],Input,PIN_N4,1,B1_N2,3.3-V LVCMOS,,,,
CH_GAIN_BUF,Output,PIN_D21,7,B7_N0,3.3-V LVCMOS,,,,
CH_GAIN_CLR,Output,PIN_B22,7,B7_N1,3.3-V LVCMOS,,,,
CH_GAIN_DA[11],Output,PIN_A21,7,B7_N1,3.3-V LVCMOS,,,,
CH_GAIN_DA[10],Output,PIN_B19,7,B7_N1,3.3-V LVCMOS,,,,
CH_GAIN_DA[9],Output,PIN_A19,7,B7_N1,3.3-V LVCMOS,,,,
CH_GAIN_DA[8],Output,PIN_B18,7,B7_N1,3.3-V LVCMOS,,,,
CH_GAIN_DA[7],Output,PIN_A18,7,B7_N1,3.3-V LVCMOS,,,,
CH_GAIN_DA[6],Output,PIN_B17,7,B7_N2,3.3-V LVCMOS,,,,
CH_GAIN_DA[5],Output,PIN_A17,7,B7_N2,3.3-V LVCMOS,,,,
CH_GAIN_DA[4],Output,PIN_A12,8,B8_N0,3.3-V LVCMOS,,,,
CH_GAIN_DA[3],Output,PIN_A11,8,B8_N0,3.3-V LVCMOS,,,,
CH_GAIN_DA[2],Output,PIN_B11,8,B8_N0,3.3-V LVCMOS,,,,
CH_GAIN_DA[1],Output,PIN_A10,8,B8_N0,3.3-V LVCMOS,,,,
CH_GAIN_DA[0],Output,PIN_B10,8,B8_N0,3.3-V LVCMOS,,,,
CH_GAIN_GAIN,Output,PIN_A22,7,B7_N1,3.3-V LVCMOS,,,,
CH_GAIN_LDAC,Output,PIN_C22,7,B7_N0,3.3-V LVCMOS,,,,
CH_GAIN_SEL[2],Output,PIN_C26,7,B7_N0,3.3-V LVCMOS,,,,
CH_GAIN_SEL[1],Output,PIN_C25,7,B7_N0,3.3-V LVCMOS,,,,
CH_GAIN_SEL[0],Output,PIN_C24,7,B7_N0,3.3-V LVCMOS,,,,
CH_GAIN_WR,Output,PIN_B21,7,B7_N1,3.3-V LVCMOS,,,,
CH_SEL_419,Output,PIN_F14,8,B8_N0,3.3-V LVCMOS,,,,
CLOCK_50,Input,PIN_Y1,2,B2_N0,3.3-V LVCMOS,,,,
DA_CLK_OUT,Output,PIN_AF5,3,B3_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[27],Output,PIN_AA5,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[26],Output,PIN_AB9,3,B3_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[25],Output,PIN_Y7,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[24],Output,PIN_W3,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[23],Output,PIN_W7,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[22],Output,PIN_V3,2,B2_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[21],Output,PIN_V7,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT[20],Output,PIN_U6,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT[19],Output,PIN_N8,1,B1_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[18],Output,PIN_M8,1,B1_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[17],Output,PIN_K8,1,B1_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[16],Output,PIN_H4,1,B1_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[15],Output,PIN_H6,1,B1_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[14],Output,PIN_G5,1,B1_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[13],Output,PIN_AE6,3,B3_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[12],Output,PIN_AD8,3,B3_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[11],Output,PIN_AC11,3,B3_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[10],Output,PIN_AB10,3,B3_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT[9],Output,PIN_AA13,3,B3_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[8],Output,PIN_Y12,3,B3_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[7],Output,PIN_Y13,3,B3_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[6],Output,PIN_W8,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT[5],Output,PIN_V8,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT[4],Output,PIN_U7,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT[3],Output,PIN_J13,8,B8_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[2],Output,PIN_J12,8,B8_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT[1],Output,PIN_H10,8,B8_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT[0],Output,PIN_G10,8,B8_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[27],Output,PIN_AD4,3,B3_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[26],Output,PIN_AC4,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[25],Output,PIN_AB3,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[24],Output,PIN_AA6,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[23],Output,PIN_AA7,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[22],Output,PIN_Y6,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[21],Output,PIN_V6,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[20],Output,PIN_V5,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[19],Output,PIN_U3,2,B2_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[18],Output,PIN_U5,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[17],Output,PIN_T3,2,B2_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[16],Output,PIN_R4,2,B2_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[15],Output,PIN_R5,2,B2_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[14],Output,PIN_R6,2,B2_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[13],Output,PIN_AB14,3,B3_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[12],Output,PIN_AE14,3,B3_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[11],Output,PIN_AE13,3,B3_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[10],Output,PIN_AF13,3,B3_N0,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[9],Output,PIN_AE12,3,B3_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[8],Output,PIN_AE11,3,B3_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[7],Output,PIN_AE10,3,B3_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[6],Output,PIN_AB8,3,B3_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[5],Output,PIN_AA8,3,B3_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[4],Output,PIN_AB6,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[3],Output,PIN_AB5,2,B2_N2,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[2],Output,PIN_AE1,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[1],Output,PIN_AD1,2,B2_N1,3.3-V LVCMOS,,,,
DA_PCM_OUT_T[0],Output,PIN_AC1,2,B2_N1,3.3-V LVCMOS,,,,
DA_WR[1],Output,PIN_F7,8,B8_N2,3.3-V LVCMOS,,,,
DA_WR[0],Output,PIN_AF6,3,B3_N2,3.3-V LVCMOS,,,,
DA_WR_T[1],Output,PIN_AE4,3,B3_N2,3.3-V LVCMOS,,,,
DA_WR_T[0],Output,PIN_AD5,3,B3_N2,3.3-V LVCMOS,,,,
ENET0_CONFIG,Output,PIN_AC25,5,B5_N2,3.3-V LVCMOS,,,,
ENET0_GTX_CLK,Output,PIN_AE23,4,B4_N0,3.3-V LVCMOS,,,,
ENET0_MDC,Output,PIN_AF23,4,B4_N0,3.3-V LVCMOS,,,,
ENET0_MDIO,Bidir,PIN_U21,5,B5_N0,3.3-V LVCMOS,,,,
ENET0_RST_N,Output,PIN_AB24,5,B5_N2,3.3-V LVCMOS,,,,
ENET0_RX_CLK,Input,PIN_Y28,5,B5_N0,3.3-V LVCMOS,,,,
ENET0_RX_DATA[3],Input,PIN_AC28,5,B5_N2,3.3-V LVCMOS,,,,
ENET0_RX_DATA[2],Input,PIN_AC27,5,B5_N2,3.3-V LVCMOS,,,,
ENET0_RX_DATA[1],Input,PIN_AB28,5,B5_N1,3.3-V LVCMOS,,,,
ENET0_RX_DATA[0],Input,PIN_AB27,5,B5_N1,3.3-V LVCMOS,,,,
ENET0_RX_DV,Input,PIN_W27,5,B5_N1,3.3-V LVCMOS,,,,
ENET0_TX_DATA[3],Output,PIN_AE28,5,B5_N2,3.3-V LVCMOS,,,,
ENET0_TX_DATA[2],Output,PIN_AE27,5,B5_N2,3.3-V LVCMOS,,,,
ENET0_TX_DATA[1],Output,PIN_AD28,5,B5_N2,3.3-V LVCMOS,,,,
ENET0_TX_DATA[0],Output,PIN_AD27,5,B5_N2,3.3-V LVCMOS,,,,
ENET0_TX_EN,Output,PIN_AF27,5,B5_N2,3.3-V LVCMOS,,,,
KEY[1],Input,PIN_N21,6,B6_N2,3.3-V LVCMOS,,,,
KEY[0],Input,PIN_M23,6,B6_N2,3.3-V LVCMOS,,,,
altera_reserved_tck,Input,,,,,,,,
altera_reserved_tdi,Input,,,,,,,,
altera_reserved_tdo,Output,,,,,,,,
altera_reserved_tms,Input,,,,,,,,
RX_ERR,Unknown,PIN_G19,7,B7_N2,,,,,
TX_ERR,Unknown,PIN_F19,7,B7_N0,,,,,
